5,67839759387001      0,506622901671682
3,85859278443204      -0,869379083785232
6,68232269710038      2,80283048917567
2,78519426043387      -1,23733704840674
7,02707531304428      3,02763775034395
3,42757081819119      -1,02954587198446
3,88793006580692      -0,523931624630492
1,6550310969609      -0,213893608799585
7,44433881363102      3,96893503887965
7,71479270454254      5,17266288853544
2,85027989319073      -0,46052560507678
4,22469673875007      -1,48863781914969
7,55716740878167      4,38008563941958
7,34724026981147      2,79468862040907
5,57101118824026      -0,107923568199625
3,46196841237227      -0,745125169068308
7,7100631891331      4,23037269410596
5,6288805504464      0,664297123781313
7,03790874687857      3,21005158175927
7,19309489251724      3,53867498164583
6,76701400650992      2,64674332632444
1,88845935970939      -0,372022059873029
5,47888367179729      0,123612670078231
5,04741942419085      0,207987311112127
6,99439034051932      3,12521711410789
2,6768497427352      -0,948795632393561
6,50623935950279      1,77636141459624
5,82613596312056      -0,178336741288293
2,07566469305924      -1,23273100028625
7,15744158539802      2,27000044085195
6,92714127801691      3,58873593005436
1,36055262124192      -0,0640986767852724
5,83707156676663      0,357804926607221
4,67390893058568      -0,523456188746794
2,49731344007762      -0,555571682652132
6,84903574960727      2,32068213894294
4,67781942555579      -0,547883331689229
7,47753042284284      4,05817632574959
6,5946173521665      1,94083599372217
4,4522515989152      -0,730578152549199
7,84943420572646      4,72277811022135
4,68162437513546      0,198115310542377
3,63600728969835      -1,60144304448149
5,37268405750985      -0,167832379665988
1,84340214396054      -0,460117400040638
4,7972966184827      -0,358888806318049
1,72870287938449      -0,0776821767935114
3,79872947083727      -0,236280200398775
5,67034851651189      0,02881043299289
2,83423720059648      -1,64082848122694
7,91281524063685      4,5536802639191
6,28515219887958      1,09260047675879
2,31614666679695      -2,10350321928206
1,15332379012989      0,128778356699172
4,18648171340417      -1,07692915962137
1,60070352982762      -0,200691487766402
4,47520591480434      -1,21009362506656
2,93603486145662      -1,94044966931902
3,42755516964363      -1,2800583454764
7,07821099091238      2,93168351059907
2,17596334366871      -1,1951699832883
5,37498981476528      -0,183950060616873
1,98477316693625      -1,56077716587612
6,82949146946403      2,3832504428317
2,19019248485108      -1,26157149273744
6,14903023892503      1,48744864740624
3,71915077079048      -1,06245725625362
4,0576279969223      -1,11699500467546
1,27962243197468      0,383143208607061
4,0896821050391      -0,347140256683216
4,47750140655669      -1,9976364727584
6,85956933948191      2,33224288835835
6,83285613862465      3,27993949315855
2,63524531835469      -0,467922107167956
4,47159096387755      -1,72330858372763
4,2302792920872      -1,13789953277616
6,09603008818628      0,937497043206325
5,75427292695002      0,344426611668124
2,45403765069974      -0,98304016004711
2,22754738816412      -0,964554965984292
5,28916392442266      0,461588227675903
7,32712491896335      3,99247243923749
3,85772696875861      -0,659168858483546
2,8031259508818      -1,75891987429909
7,12937035091658      2,95739527528772
7,08274421518796      2,29616731371017
7,86504174436677      4,82712156695765
4,72874496352335      -1,37333831794287
3,76828853821768      -1,82949858888448
4,2308976330007      -1,57150934512706
5,10333919809355      -0,195764146851792
3,79860263634408      -0,938576897857975
6,58941666902481      1,6521867021482
4,32434618488157      -1,54233284070123
1,76774240134644      -0,449439847439597
6,56636908956169      2,05291575092115
1,24175643187098      -0,16974461387096
4,22818797138901      -1,82195431369963
5,52824173473206      -0,534918095328454
4,97891796751829      -1,03593281976847
5,47189394592861      0,380429446856772
5,41233418062904      -0,497173391558875
4,35361860848666      -0,907953809068067
2,85058292273925      -1,22283452766469
4,89924586699309      -0,606988735483303
4,51666882471958      -1,24516150793053
7,99050079425355      4,98117255314171
4,47422295225515      -1,07154350703219
1,08452755356418      0,252827753430315
5,77736908326734      1,2279041060034
3,85598107187822      -1,58045894354034
5,18544818516143      -0,473298146438881
3,3492590316335      -1,10969352116285
1,71649491773755      -0,668463215039818
3,3326711237117      -1,60432147350438
1,79235495524125      -0,903573537234242
2,55942691097009      -2,01401651360831
5,23785932419722      0,176759451574366
3,87545275728938      -1,35923489284245
2,4002110526898      -0,837274424773308
3,58282264907976      -1,09982587443328
6,19191407328095      0,82943284562955
3,25600180926547      -1,7760351717687
5,0677232104669      -0,509170324101755
6,03789700243524      0,971044126897465
2,50984366308425      -1,43712450616847
7,71541450392241      4,2995655087436
4,79654780998665      -0,901350256782779
6,49660654668538      1,29745841400396
1,20670381104886      -0,00211613431377687
3,55553302474112      -2,01533534834336
4,20249986937386      -1,76438949856375
6,64132128173547      2,29886690778255
2,35626586124127      -1,79072832591735
3,27993479384106      -1,53181816537153
1,12592422921486      0,338139943170459
6,17308420509709      1,96420460719619
4,84149874785985      -0,226535080823494
1,52005193732681      0,0422207095913322
6,10069790766607      1,35965123118655
5,95679700000062      1,05197667375338
7,31502478724114      3,45421823455934
1,62453008379067      -0,177117566194528
6,56009044710551      1,94156504720727
1,78182094114917      -0,717891915271764
4,92467791956136      0,0849280040610044
6,03593598261286      0,908910109681418
1,76185570180503      -0,923258003388698
1,58667532242214      -0,458683829242085
3,69274488263426      -1,4873370812482
1,29441045610905      0,0778510494862592
5,44402751999163      -0,021824267190454
7,1008867556699      3,60842055190805
5,78186227184807      0,930594196269901
2,71309782271883      -0,891306649479804
6,23987599799404      1,23816114625952
5,95493655603143      0,825876955783685
4,37230139801852      -0,762559873940154
4,18263634582173      -0,700593755422195
1,14034203632751      -0,448953057335543
6,68107342658614      1,87959481516903
3,63031110196855      -1,1776068534539
6,12826056644705      0,471567824750403
3,8059517772896      -2,06634131067415
1,69812465491617      -1,53298521911075
6,48013055766007      2,21199279363716
1,15863713815745      -0,257874147638363
1,40417225817413      -0,0214690074546209
3,54850508391322      -1,67296004186076
3,00497338315704      -1,60197647937185
7,05554620644802      3,31684579590428
3,29173251767258      -0,379239631960795
1,23805539088233      -0,301390092388503
2,86488173756044      -0,780882078623001
4,69881125665214      -0,216598631022079
2,90252517019516      -1,50886205361417
4,28669991683527      -1,78234751919685
7,33376450898767      3,82299307171669
7,02528006538063      2,66683913705914
5,85669794997978      0,682038383259938
6,86200412589219      2,13098004031142
5,55730949228504      0,0619583722408209
7,24961137224436      3,11560594013496
2,48658738773623      -1,34224082649739
7,10394883859155      3,60888122177618
1,01449533692305      0,264543565831625
6,09166634738989      0,927686494289441
2,74836659699137      -1,35335601174008
3,05970300317728      -1,18907167789019
5,56394801408236      0,98182447204962
6,44122419806254      2,28030862904308
2,40316029377429      -0,466222139310392
4,8538120616478      -0,842377005703516
7,80631006732877      3,93036300133553
2,75209546310459      -0,989044464711003
4,27592576727081      -0,594469866951833
7,47336832083453      4,04987586142612
2,0945700547167      -1,01170613408511
3,74734680761925      -2,06636433247145
3,80246763900037      -1,3559101295442
1,79286600593145      -0,839010554167864
7,42386604725563      3,58823183263271
5,18435994404571      -0,509245786055796
1,39836924448533      0,0640293901747521
1,14046548220351      -0,304325577501166
7,88327193208191      5,02709187233447
4,07807610094458      -0,808534151592769
1,35355662198437      -0,316527952792796
5,27673042764735      -0,083819215894535
1,10294852922808      0,830945168822489
2,34055594650123      -1,35470644864246
2,11698112083458      -0,602276208565276
5,79516979809626      0,759253226862586
1,37920175417289      -1,00371286475886
7,08919780100193      2,92393636448959
3,6290703190626      -0,817986265567484
