       1   13.50    8.30  382.70  430.20   15.10   10.00
       1  477.28  788.65 1375.99 3063.19   40.84   60.61
       1  313.16   59.49  829.15 1205.94   13.94   22.37
       1  357.96  169.73 1916.56  459.88   61.25   36.09
       1  225.21  230.38  552.70  552.76   32.81   24.30
       1  314.48  149.78 1052.93  442.17   15.62   17.68
       1  330.24  389.58 1658.56  487.44   27.89   16.53
       1   78.10  220.80 2653.70 6038.60   26.20   39.50
       1   81.30  133.10 2268.30 5042.60   15.70   16.20
       1  207.50   23.90 5198.50  408.20   14.60    5.70
       1   25.30   22.82  471.77 1074.07   20.22   24.44
       1   61.89   11.48 2326.17  481.20    7.84    6.30
       1   12.96   12.93  536.89  353.74   17.20   15.44
       1   28.38   49.81  964.75 1981.43   38.97   78.75
       1   49.81   74.48 13728.49 11039.40   87.51  567.04
       1   99.20  420.99 5042.58 24810.96   27.71  102.27
       1  156.88   93.46 5021.27 9235.58  646.47  351.39
       1  208.53  808.12 10396.97 10633.27  350.63  267.84
       1   20.89   41.87  668.53 1145.27    4.38   11.59
       0   31.10   15.40 1239.20 3161.30   24.10   35.00
       0  260.27  185.97  933.58  715.90   26.25   11.25
       0   86.48   79.53  120.59   98.27   12.25    7.78
       0  128.56  169.73  418.32  663.25   17.74   11.81
       0   20.90   23.70  353.90  287.80    6.80    3.00
       0   17.24   56.69  602.70 2441.15    5.51   23.83
       0   27.09   17.87 1924.50  815.22   13.33    6.72
       0   62.12  118.78 5328.22 2510.63  202.05   43.83
       0  104.26  208.53 8270.32 7088.85   84.74  128.56
       0   93.46  208.17 10301.22 38685.09  491.95  204.18
       0  166.02  190.05 8020.08 4489.60  233.35  210.38
