129	64	95	17.5	11.2	13.8
154	74	76	20.0	14.2	16.5
170	87	71	17.9	12.3	15.9
188	94	73	19.5	13.3	14.8
161	81	55	17.1	12.1	13.0
164	90	58	17.5	12.7	14.7
203	109	65	20.7	14.0	16.8
178	97	57	17.3	12.8	14.3
212	114	65	20.5	14.3	15.5
221	123	62	21.2	15.2	17.0
183	97	52	19.3	12.9	13.5
212	112	65	19.7	14.2	16.0
220	117	70	19.8	14.3	15.6
216	113	72	20.5	14.4	17.7
216	112	75	19.6	14.0	16.4
205	110	68	20.8	14.1	16.4
228	122	78	22.5	14.2	17.8
218	112	65	20.3	13.9	17.0
190	93	78	19.7	13.2	14.0
212	111	73	20.5	13.7	16.6
201	105	70	19.8	14.3	15.9
196	106	67	18.5	12.6	14.2
158	71	71	16.7	12.5	13.3
255	126	86	21.4	15.0	18.0
234	113	83	21.3	14.8	17.0
205	105	70	19.0	12.4	14.9
186	97	62	19.0	13.2	14.2
241	119	87	21.0	14.7	18.3
220	111	88	22.5	15.4	18.0
242	120	85	19.9	15.3	17.6
199	105	73	23.4	15.0	19.1
227	117	77	25.0	15.3	18.6
228	122	82	24.7	15.0	18.5
232	123	83	25.3	16.8	15.5
231	121	78	23.5	16.5	19.6
215	118	74	25.7	15.7	19.0
184	100	69	23.3	15.8	19.7
175	94	73	22.2	14.8	17.0
239	124	77	25.0	16.8	27.0
203	109	70	23.3	15.0	18.7
226	118	72	26.0	16.0	19.4
226	119	77	26.5	16.8	19.3
210	103	72	20.5	14.0	16.7
