    6248   214.0  2437.1   156.4   305.5  1168.6
    3780   248.0  2120.5   147.4   271.2   557.3
    3780   327.8  2052.9   172.0   340.8   379.1
    3794   292.8  2283.3   183.5   261.9   605.8
    3220   202.8  1938.3   170.3   270.6   407.8
    3650   363.6  2149.2   174.5   317.6   500.0
    3810   303.1  2254.5   191.3   218.0   680.0
    3347   146.5  1964.0   188.5   300.9   279.1
    3420   351.8  1911.4   167.0   295.0   440.0
    4248   877.8  1888.3   191.6   250.3   841.2
    3624   424.8  1637.4   145.3   255.4   446.5
    2958   345.5  1666.2   133.9   273.9   384.2
    3204   515.8  1618.4   151.8   307.1   272.7
    5356   797.0  2361.4   222.6   328.4   865.3
    4270   757.4  1983.8   172.0   328.5   684.2
    4215   849.4  1917.1   138.2   335.4   720.5
    4472   980.8  1758.3   173.6   337.0   685.4
    4022   893.8  1695.0   178.6   334.1   619.2
    2100   840.0   411.5   174.9   281.7    41.2
    5677   910.0  3069.8   180.4   656.6  1247.9
    2035   840.0   374.4   380.7    85.1   165.5
    2673   813.1   934.1   190.4   273.6   280.5
    3748  1047.4  1370.8   143.1   294.0   661.0
    3512   955.1  1361.7   167.0   304.0   332.2
    3308   985.6  1240.0   151.7   404.4   328.7
    3193   974.5  1181.8   150.3   237.1   601.6
    3192   974.5  1109.0   120.2   291.8   495.4
    3180   974.5  1088.0   110.2   237.1   598.2
    3098   904.9  1063.9   110.2   225.0   573.8
    2800   869.7   957.4   103.2   202.6   555.4
    2800   971.5   855.1   110.2   200.6   563.2
    2998   954.2   970.9   120.2   243.2   507.2
    2410   893.9   907.4   130.3   188.5   500.0
    2890   994.0   861.9   110.2   212.8   553.1
    2575   823.6   633.7   140.2   231.0   397.7
    2688   745.5  1006.7   121.0   247.2   401.6
    2520   603.5  1044.6    90.2   188.5   468.1
    3525   674.5  1462.8   150.3   310.1   528.1
