Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
ACURA,ILX,COMPACT,0.3010299956639811,1.2962183778481056,AS5,Z,0.99563519459755,0.8260748027008264,0.9294189257142926,2.2922560713564755
ACURA,ILX,COMPACT,0.380211241711606,1.2962183778481056,M6,Z,1.0492180226701815,0.8864907251724818,0.9822712330395684,2.34439227368511
ACURA,ILX HYBRID,COMPACT,0.1760912590556812,1.2962183778481056,AV7,Z,0.7781512503836435,0.7634279935629372,0.7708520116421441,2.133538908370217
ACURA,MDX 4WD,SUV - SMALL,0.5440680443502756,1.2986580151756753,AS6,Z,1.1038037209559568,0.9590413923210936,1.0453229787866574,2.4065401804339546
ACURA,RDX AWD,SUV - SMALL,0.5440680443502756,1.2986580151756753,AS6,Z,1.08278537031645,0.9395192526186184,1.0253058652647702,2.387389826338729
ACURA,RLX,MID-SIZE,0.5440680443502756,1.2986580151756753,AS6,Z,1.0755469613925306,0.8864907251724818,1.0,2.3617278360175926
ACURA,TL,MID-SIZE,0.5440680443502756,1.2986580151756753,AS6,Z,1.0718820073061253,0.9084850188786496,1.0043213737826424,2.3654879848908994
ACURA,TL AWD,MID-SIZE,0.568201724066995,1.2986580151756753,AS6,Z,1.1072099696478683,0.9542425094393248,1.0453229787866574,2.4065401804339546
ACURA,TL AWD,MID-SIZE,0.568201724066995,1.2986580151756753,M6,Z,1.1271047983648077,0.9777236052888476,1.0644579892269184,2.426511261364575
ACURA,TSX,COMPACT,0.380211241711606,1.2962183778481056,AS5,Z,1.0253058652647702,0.8750612633916999,0.9637878273455552,2.326335860928751
ACURA,TSX,COMPACT,0.380211241711606,1.2962183778481056,M6,Z,1.0492180226701815,0.9084850188786496,0.9912260756924948,2.3521825181113623
ACURA,TSX,COMPACT,0.5440680443502756,1.2986580151756753,AS5,Z,1.08278537031645,0.919078092376074,1.0170333392987805,2.378397900948137
ALFA ROMEO,4C,TWO-SEATER,0.255272505103306,1.2962183778481056,AM6,Z,0.9867717342662446,0.8388490907372552,0.9242792860618816,2.285557309007773
ASTON MARTIN,DB9,MINICOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319
ASTON MARTIN,RAPIDE,SUBCOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,0.6720978579357174,1.3000676416768184,AM7,Z,1.2405492482825995,1.0530784434834195,1.167317334748176,2.5289167002776547
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,0.6720978579357174,1.3000676416768184,M6,Z,1.2576785748691843,1.0863598306747482,1.187520720836463,2.549003262025788
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,0.6720978579357174,1.3000676416768184,AM7,Z,1.2405492482825995,1.0530784434834195,1.167317334748176,2.5289167002776547
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,0.6720978579357174,1.3000676416768184,M6,Z,1.2576785748691843,1.0863598306747482,1.187520720836463,2.549003262025788
ASTON MARTIN,VANQUISH,MINICOMPACT,0.7708520116421441,1.3017480372878634,A6,Z,1.2552725051033058,1.1003705451175627,1.1931245983544614,2.555094448578319
AUDI,A4,COMPACT,0.3010299956639811,1.2962183778481056,AV8,Z,0.99563519459755,0.8692317197309762,0.9444826721501686,2.305351369446624
AUDI,A4 QUATTRO,COMPACT,0.3010299956639811,1.2962183778481056,AS8,Z,1.0606978403536116,0.9084850188786496,1.0,2.3617278360175926
AUDI,A4 QUATTRO,COMPACT,0.3010299956639811,1.2962183778481056,M6,Z,1.0334237554869496,0.8750612633916999,0.9684829485539352,2.3304137733491905
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,0.3010299956639811,1.2962183778481056,AS8,Z,1.0606978403536116,0.9084850188786496,1.0,2.3617278360175926
AUDI,A5 QUATTRO,SUBCOMPACT,0.3010299956639811,1.2962183778481056,AS8,Z,1.0606978403536116,0.9084850188786496,1.0,2.3617278360175926
AUDI,A5 QUATTRO,SUBCOMPACT,0.3010299956639811,1.2962183778481056,M6,Z,1.0334237554869496,0.8750612633916999,0.9684829485539352,2.3304137733491905
AUDI,A6 QUATTRO,MID-SIZE,0.3010299956639811,1.2962183778481056,AS8,Z,1.0791812460476249,0.9084850188786496,1.0086001717619173,2.371067862271736
AUDI,A6 QUATTRO,MID-SIZE,0.4771212547196624,1.2986580151756753,AS8,Z,1.1072099696478683,0.9344984512435676,1.0374264979406236,2.399673721481037
AUDI,A7 QUATTRO,MID-SIZE,0.4771212547196624,1.2986580151756753,AS8,Z,1.1238516409670858,0.9294189257142926,1.0492180226701815,2.418301291319745
AUDI,A8,MID-SIZE,0.4771212547196624,1.2986580151756753,AS8,Z,1.117271295655764,0.9444826721501686,1.0492180226701815,2.41161970596323
AUDI,A8,MID-SIZE,0.6020599913279623,1.3000676416768184,AS8,Z,1.136720567156407,0.919078092376074,1.0530784434834195,2.4232458739368075
AUDI,A8L,FULL-SIZE,0.4771212547196624,1.2986580151756753,AS8,Z,1.117271295655764,0.9444826721501686,1.0492180226701815,2.41161970596323
AUDI,A8L,FULL-SIZE,0.6020599913279623,1.3000676416768184,AS8,Z,1.167317334748176,0.9867717342662446,1.0969100130080565,2.4593924877592306
AUDI,A8L,FULL-SIZE,0.7993405494535816,1.3017480372878634,AS8,Z,1.2718416065364988,1.0606978403536116,1.1903316981702914,2.559906625036112
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,0.3010299956639811,1.2962183778481056,AS8,Z,1.0718820073061253,0.9444826721501686,1.021189299069938,2.383815365980431
AUDI,Q5,SUV - SMALL,0.3010299956639811,1.2962183778481056,AS8,Z,1.0791812460476249,0.9294189257142926,1.0170333392987805,2.378397900948137
AUDI,Q5,SUV - SMALL,0.4771212547196624,1.2986580151756753,AS8,Z,1.1105897102992488,0.9637878273455552,1.0492180226701815,2.41161970596323
AUDI,Q5 HYBRID,SUV - SMALL,0.3010299956639811,1.2962183778481056,AS8,Z,0.99563519459755,0.919078092376074,0.9637878273455552,2.326335860928751
AUDI,Q7,SUV - STANDARD,0.4771212547196624,1.2986580151756753,AS8,Z,1.1789769472931697,1.0374264979406236,1.1205739312058498,2.482873583608753
AUDI,R8,TWO-SEATER,0.6232492903979004,1.3000676416768184,A7,Z,1.2455126678141497,1.041392685158225,1.1643528557844371,2.526339277389844
AUDI,R8,TWO-SEATER,0.6232492903979004,1.3000676416768184,M6,Z,1.3263358609287514,1.1271047983648077,1.2479732663618064,2.6095944092252195
AUDI,R8 SPYDER,TWO-SEATER,0.6232492903979004,1.3000676416768184,A7,Z,1.2455126678141497,1.041392685158225,1.1643528557844371,2.526339277389844
AUDI,R8 SPYDER,TWO-SEATER,0.6232492903979004,1.3000676416768184,M6,Z,1.3263358609287514,1.1271047983648077,1.2479732663618064,2.6095944092252195
AUDI,RS 5,SUBCOMPACT,0.6232492903979004,1.3000676416768184,A7,Z,1.1846914308175986,1.0374264979406236,1.1238516409670858,2.48572142648158
AUDI,RS 5 CABRIOLET,SUBCOMPACT,0.6232492903979004,1.3000676416768184,A7,Z,1.1818435879447724,1.0530784434834195,1.1271047983648077,2.488550716500444
AUDI,RS 7,MID-SIZE,0.6020599913279623,1.3000676416768184,AS8,Z,1.1903316981702914,0.9444826721501686,1.0969100130080565,2.4668676203541096
AUDI,S4,COMPACT,0.4771212547196624,1.2986580151756753,A7,Z,1.1205739312058498,0.9637878273455552,1.0569048513364725,2.418301291319745
AUDI,S4,COMPACT,0.4771212547196624,1.2986580151756753,M6,Z,1.1643528557844371,0.9912260756924948,1.093421685162235,2.45484486000851
AUDI,S5,SUBCOMPACT,0.4771212547196624,1.2986580151756753,A7,Z,1.1205739312058498,0.9637878273455552,1.0569048513364725,2.418301291319745
AUDI,S5,SUBCOMPACT,0.4771212547196624,1.2986580151756753,M6,Z,1.1643528557844371,0.9912260756924948,1.093421685162235,2.45484486000851
AUDI,S5 CABRIOLET,SUBCOMPACT,0.4771212547196624,1.2986580151756753,A7,Z,1.1238516409670858,0.9777236052888476,1.0644579892269184,2.426511261364575
AUDI,S6,MID-SIZE,0.6020599913279623,1.3000676416768184,A7,Z,1.1522883443830565,0.9867717342662446,1.0863598306747482,2.44870631990508
AUDI,S7,MID-SIZE,0.6020599913279623,1.3000676416768184,A7,Z,1.1522883443830565,0.9867717342662446,1.0863598306747482,2.44870631990508
AUDI,S8,MID-SIZE,0.6020599913279623,1.3000676416768184,AS8,Z,1.1986570869544224,0.9637878273455552,1.1072099696478683,2.477121254719662
AUDI,SQ5,SUV - SMALL,0.4771212547196624,1.2986580151756753,AS8,Z,1.1731862684122738,1.0043213737826424,1.1038037209559568,2.465382851448418
AUDI,TT COUPE QUATTRO,SUBCOMPACT,0.3010299956639811,1.2962183778481056,A6,Z,1.0170333392987805,0.8808135922807911,0.9590413923210936,2.320146286111054
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,0.3010299956639811,1.2962183778481056,A6,Z,1.0170333392987805,0.8808135922807911,0.9590413923210936,2.320146286111054
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,0.3010299956639811,1.2962183778481056,A6,Z,1.0606978403536116,0.9444826721501686,1.012837224705172,2.374748346010104
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,0.3010299956639811,1.2962183778481056,A6,Z,1.0606978403536116,0.9444826721501686,1.012837224705172,2.374748346010104
BENTLEY,CONTINENTAL GT,SUBCOMPACT,0.6020599913279623,1.3000676416768184,AS8,Z,1.212187604403958,0.9912260756924948,1.1271047983648077,2.4969296480732144
BENTLEY,CONTINENTAL GT,SUBCOMPACT,0.7781512503836435,1.3017480372878634,AS8,Z,1.2741578492636798,1.0606978403536116,1.1903316981702914,2.551449997972875
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,0.6020599913279623,1.3000676416768184,AS8,Z,1.2405492482825995,1.0086001717619173,1.1522883443830565,2.521138083704036
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,0.7781512503836435,1.3017480372878634,AS8,Z,1.301029995663981,1.0863598306747482,1.217483944213906,2.57978359661681
